dataset_id,group,processed_path,raw_source_path,source_url,n_alternatives,n_criteria,criteria_columns,n_classes,class_order,label_source,intended_benchmark_role,structural_truth,notes
higher_education_students_performance,education_evaluation,data/processed/education_evaluation/higher_education_students_performance.csv,data/raw/uci_higher_education_students_performance/higher_education_students_performance.zip::DATA (1).csv,https://archive.ics.uci.edu/dataset/856/higher+education+students+performance+evaluation,145,30,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17;g18;g19;g20;g21;g22;g23;g24;g25;g26;g27;g28;g29;g30,8,Cl1;Cl2;Cl3;Cl4;Cl5;Cl6;Cl7;Cl8,UCI Higher Education Students Performance Evaluation GRADE target shifted to Cl1-Cl8.,Small education-evaluation ordered-class benchmark for external validity.,No structure truth; source attributes are encoded questionnaire/course descriptors.,"Columns 1-30 are min-max normalized as criteria; COURSE ID is kept as metadata, not a model criterion."
student_performance_math_no_prior_grades,education_evaluation,data/processed/education_evaluation/student_performance_math_no_prior_grades.csv,data/raw/uci_student_performance/student_performance.zip::student.zip::student-mat.csv,https://archive.ics.uci.edu/dataset/320/student+performance,395,21,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17;g18;g19;g20;g21,5,Cl1;Cl2;Cl3;Cl4;Cl5,UCI Student Performance final grade G3 converted into five ordered grade bands.,Education evaluation benchmark; no-prior and with-prior variants separate the harder background-only setting from the easier prior-grade setting.,No structure truth; features include ordinal and binary student descriptors.,"Class bands: G3 0-9 -> Cl1, 10-11 -> Cl2, 12-13 -> Cl3, 14-15 -> Cl4, 16-20 -> Cl5. Features are normalized or binary encoded; not all criteria have a normative gain direction."
student_performance_math_with_prior_grades,education_evaluation,data/processed/education_evaluation/student_performance_math_with_prior_grades.csv,data/raw/uci_student_performance/student_performance.zip::student.zip::student-mat.csv,https://archive.ics.uci.edu/dataset/320/student+performance,395,23,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17;g18;g19;g20;g21;g22;g23,5,Cl1;Cl2;Cl3;Cl4;Cl5,UCI Student Performance final grade G3 converted into five ordered grade bands.,Education evaluation benchmark; no-prior and with-prior variants separate the harder background-only setting from the easier prior-grade setting.,No structure truth; features include ordinal and binary student descriptors.,"Class bands: G3 0-9 -> Cl1, 10-11 -> Cl2, 12-13 -> Cl3, 14-15 -> Cl4, 16-20 -> Cl5. Features are normalized or binary encoded; not all criteria have a normative gain direction."
student_performance_portuguese_no_prior_grades,education_evaluation,data/processed/education_evaluation/student_performance_portuguese_no_prior_grades.csv,data/raw/uci_student_performance/student_performance.zip::student.zip::student-por.csv,https://archive.ics.uci.edu/dataset/320/student+performance,649,21,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17;g18;g19;g20;g21,5,Cl1;Cl2;Cl3;Cl4;Cl5,UCI Student Performance final grade G3 converted into five ordered grade bands.,Education evaluation benchmark; no-prior and with-prior variants separate the harder background-only setting from the easier prior-grade setting.,No structure truth; features include ordinal and binary student descriptors.,"Class bands: G3 0-9 -> Cl1, 10-11 -> Cl2, 12-13 -> Cl3, 14-15 -> Cl4, 16-20 -> Cl5. Features are normalized or binary encoded; not all criteria have a normative gain direction."
student_performance_portuguese_with_prior_grades,education_evaluation,data/processed/education_evaluation/student_performance_portuguese_with_prior_grades.csv,data/raw/uci_student_performance/student_performance.zip::student.zip::student-por.csv,https://archive.ics.uci.edu/dataset/320/student+performance,649,23,g1;g2;g3;g4;g5;g6;g7;g8;g9;g10;g11;g12;g13;g14;g15;g16;g17;g18;g19;g20;g21;g22;g23,5,Cl1;Cl2;Cl3;Cl4;Cl5,UCI Student Performance final grade G3 converted into five ordered grade bands.,Education evaluation benchmark; no-prior and with-prior variants separate the harder background-only setting from the easier prior-grade setting.,No structure truth; features include ordinal and binary student descriptors.,"Class bands: G3 0-9 -> Cl1, 10-11 -> Cl2, 12-13 -> Cl3, 14-15 -> Cl4, 16-20 -> Cl5. Features are normalized or binary encoded; not all criteria have a normative gain direction."
maternal_health_risk,health_risk_evaluation,data/processed/health_risk_evaluation/maternal_health_risk.csv,data/raw/uci_maternal_health_risk/maternal_health_risk.zip::Maternal Health Risk Data Set.csv,https://archive.ics.uci.edu/dataset/863/maternal+health+risk,1014,6,g1;g2;g3;g4;g5;g6,3,Cl1;Cl2;Cl3,"UCI Maternal Health Risk risk level mapped as high -> Cl1, mid -> Cl2, low -> Cl3.",Risk-stratification benchmark with clinically interpretable criteria and ordered labels.,No structure truth; criteria are clinical measurements and may be monotone or non-monotone.,Larger class_index means lower risk / more preferred health status. Clinical measurements are min-max normalized in their original direction.
mcs_bcc,monotone_classification,data/processed/monotone_classification/mcs_bcc.csv,data/raw/ijoc-data/monotone-classification-problems/BCC.csv,https://github.com/ijoc-data/download/tree/master/monotone-classification-problems,278,7,g1;g2;g3;g4;g5;g6;g7,2,Cl1;Cl2,IJOC ordered classes; greater class index is more preferred.,Real public monotone benchmark; tests whether adaptive models avoid unnecessary non-monotonicity or interactions.,Known benchmark assumption: gain-type ordered criteria and ordered classes; exact generative structure is unknown.,"Criteria are already normalized to [0,1] in the source repository."
mcs_cev,monotone_classification,data/processed/monotone_classification/mcs_cev.csv,data/raw/ijoc-data/monotone-classification-problems/CEV.csv,https://github.com/ijoc-data/download/tree/master/monotone-classification-problems,1728,6,g1;g2;g3;g4;g5;g6,3,Cl1;Cl2;Cl3,IJOC ordered classes; greater class index is more preferred.,Real public monotone benchmark; tests whether adaptive models avoid unnecessary non-monotonicity or interactions.,Known benchmark assumption: gain-type ordered criteria and ordered classes; exact generative structure is unknown.,"Criteria are already normalized to [0,1] in the source repository."
mcs_cpu,monotone_classification,data/processed/monotone_classification/mcs_cpu.csv,data/raw/ijoc-data/monotone-classification-problems/CPU.csv,https://github.com/ijoc-data/download/tree/master/monotone-classification-problems,209,6,g1;g2;g3;g4;g5;g6,4,Cl1;Cl2;Cl3;Cl4,IJOC ordered classes; greater class index is more preferred.,Real public monotone benchmark; tests whether adaptive models avoid unnecessary non-monotonicity or interactions.,Known benchmark assumption: gain-type ordered criteria and ordered classes; exact generative structure is unknown.,"Criteria are already normalized to [0,1] in the source repository."
mcs_dbs,monotone_classification,data/processed/monotone_classification/mcs_dbs.csv,data/raw/ijoc-data/monotone-classification-problems/DBS.csv,https://github.com/ijoc-data/download/tree/master/monotone-classification-problems,120,8,g1;g2;g3;g4;g5;g6;g7;g8,2,Cl1;Cl2,IJOC ordered classes; greater class index is more preferred.,Real public monotone benchmark; tests whether adaptive models avoid unnecessary non-monotonicity or interactions.,Known benchmark assumption: gain-type ordered criteria and ordered classes; exact generative structure is unknown.,"Criteria are already normalized to [0,1] in the source repository."
